"","gender","race","parents_education","lunch","test_preparation_course","math_score","reading_score","writing_score"
"1","female","group B","bachelor's degree","standard","none",72,32,74
"2","female","group C","some college","standard","completed",69,50,88
"3","female","group B","master's degree","standard","none",90,55,93
"4","male","group A","associate's degree","free/reduced","none",47,57,44
"5","male","group C","some college","standard","none",76,78,75
"6","female","group B","associate's degree","standard","none",71,43,78
"7","female","group B","some college","standard","completed",88,55,92
"8","male","group B","some college","free/reduced","none",40,43,39
"9","male","group D","high school","free/reduced","completed",64,64,67
"10","female","group B","high school","free/reduced","none",38,20,50
"11","male","group C","associate's degree","standard","none",58,54,52
"12","male","group D","associate's degree","standard","none",40,52,43
"13","female","group B","high school","standard","none",65,41,73
"14","male","group A","some college","standard","completed",78,72,70
"15","female","group A","master's degree","standard","none",50,13,58
"16","female","group C","some high school","standard","none",69,35,78
"17","male","group C","high school","standard","none",88,89,86
"18","female","group B","some high school","free/reduced","none",18,-8,28
"19","male","group C","master's degree","free/reduced","completed",46,42,46
"20","female","group C","associate's degree","free/reduced","none",54,18,61
"21","male","group D","high school","standard","none",66,69,63
"22","female","group B","some college","free/reduced","completed",65,35,70
"23","male","group D","some college","standard","none",44,54,53
"24","female","group C","some high school","standard","none",69,33,73
"25","male","group D","bachelor's degree","free/reduced","completed",74,71,80
"26","male","group A","master's degree","free/reduced","none",73,74,72
"27","male","group B","some college","standard","none",69,54,55
"28","female","group C","bachelor's degree","standard","none",67,29,75
"29","male","group C","high school","standard","none",70,70,65
"30","female","group D","master's degree","standard","none",62,30,75
"31","female","group D","some college","standard","none",69,34,74
"32","female","group B","some college","standard","none",63,25,61
"33","female","group E","master's degree","free/reduced","none",56,32,65
"34","male","group D","some college","standard","none",40,42,38
"35","male","group E","some college","standard","none",97,87,82
"36","male","group E","associate's degree","standard","completed",81,81,79
"37","female","group D","associate's degree","standard","none",74,41,83
"38","female","group D","some high school","free/reduced","none",50,24,59
"39","female","group D","associate's degree","free/reduced","completed",75,50,88
"40","male","group B","associate's degree","free/reduced","none",57,56,57
"41","male","group C","associate's degree","free/reduced","none",55,61,54
"42","female","group C","associate's degree","standard","none",58,33,68
"43","female","group B","associate's degree","standard","none",53,18,65
"44","male","group B","some college","free/reduced","completed",59,65,66
"45","female","group E","associate's degree","free/reduced","none",50,16,54
"46","male","group B","associate's degree","standard","none",65,54,57
"47","female","group A","associate's degree","standard","completed",55,25,62
"48","female","group C","high school","standard","none",66,31,76
"49","female","group D","associate's degree","free/reduced","completed",57,34,76
"50","male","group C","high school","standard","completed",82,84,82
"51","male","group E","some college","standard","none",53,55,48
"52","male","group E","associate's degree","free/reduced","completed",77,69,68
"53","male","group C","some college","standard","none",53,44,42
"54","male","group D","high school","standard","none",88,78,75
"55","female","group C","some high school","free/reduced","completed",71,44,87
"56","female","group C","high school","free/reduced","none",33,1,43
"57","female","group E","associate's degree","standard","completed",82,45,86
"58","male","group D","associate's degree","standard","none",52,55,49
"59","male","group D","some college","standard","completed",58,59,58
"60","female","group C","some high school","free/reduced","none",0,-23,10
"61","male","group E","bachelor's degree","free/reduced","completed",79,74,72
"62","male","group A","some high school","free/reduced","none",39,39,34
"63","male","group A","associate's degree","free/reduced","none",62,61,55
"64","female","group C","associate's degree","standard","none",69,40,71
"65","female","group D","some high school","standard","none",59,18,59
"66","male","group B","some high school","standard","none",67,64,61
"67","male","group D","some high school","free/reduced","none",45,37,37
"68","female","group C","some college","standard","none",60,32,74
"69","male","group B","associate's degree","free/reduced","none",61,58,56
"70","female","group C","associate's degree","standard","none",39,24,57
"71","female","group D","some college","free/reduced","completed",58,23,73
"72","male","group D","some college","standard","completed",63,55,63
"73","female","group A","associate's degree","free/reduced","none",41,11,48
"74","male","group C","some high school","free/reduced","none",61,57,56
"75","male","group C","some high school","standard","none",49,49,41
"76","male","group B","associate's degree","free/reduced","none",44,41,38
"77","male","group E","some high school","standard","none",30,26,22
"78","male","group A","bachelor's degree","standard","completed",80,78,81
"79","female","group D","some high school","standard","completed",61,34,72
"80","female","group E","master's degree","standard","none",62,28,68
"81","female","group B","associate's degree","standard","none",47,9,50
"82","male","group B","high school","free/reduced","none",49,45,45
"83","male","group A","some college","free/reduced","completed",50,47,54
"84","male","group E","associate's degree","standard","none",72,64,63
"85","male","group D","high school","free/reduced","none",42,39,34
"86","female","group C","some college","standard","none",73,40,82
"87","female","group C","some college","free/reduced","none",76,43,88
"88","female","group D","associate's degree","standard","none",71,31,74
"89","female","group A","some college","standard","none",58,30,67
"90","female","group D","some high school","standard","none",73,46,82
"91","female","group C","bachelor's degree","standard","none",65,32,74
"92","male","group C","high school","free/reduced","none",27,34,36
"93","male","group C","high school","standard","none",71,79,71
"94","male","group C","associate's degree","free/reduced","completed",43,45,50
"95","female","group B","some college","standard","none",79,46,92
"96","male","group C","associate's degree","free/reduced","completed",78,81,82
"97","male","group B","some high school","standard","completed",65,66,62
"98","female","group E","some college","standard","completed",63,32,70
"99","female","group D","some college","free/reduced","none",58,27,62
"100","female","group D","bachelor's degree","standard","none",65,27,62
"101","male","group B","some college","standard","none",79,67,67
"102","male","group D","bachelor's degree","standard","completed",68,74,74
"103","female","group D","associate's degree","standard","none",85,51,89
"104","male","group B","high school","standard","completed",60,44,47
"105","male","group C","some college","standard","completed",98,86,90
"106","female","group C","some college","standard","none",58,27,72
"107","female","group D","master's degree","standard","none",87,60,100
"108","male","group E","associate's degree","standard","completed",66,63,64
"109","female","group B","associate's degree","free/reduced","none",52,36,70
"110","female","group B","some high school","standard","none",70,24,72
"111","female","group D","associate's degree","free/reduced","completed",77,49,98
"112","male","group C","high school","standard","none",62,55,49
"113","male","group A","associate's degree","standard","none",54,53,47
"114","female","group D","some college","standard","none",51,18,54
"115","female","group E","bachelor's degree","standard","completed",99,60,100
"116","male","group C","high school","standard","none",84,77,74
"117","female","group B","bachelor's degree","free/reduced","none",75,45,82
"118","female","group D","bachelor's degree","standard","none",78,42,79
"119","female","group D","some high school","standard","none",51,23,61
"120","female","group C","some college","standard","none",55,29,65
"121","female","group C","bachelor's degree","standard","completed",79,52,89
"122","male","group B","associate's degree","standard","completed",91,89,92
"123","female","group C","some college","standard","completed",88,53,93
"124","male","group D","high school","free/reduced","none",63,57,56
"125","male","group E","some college","standard","none",83,80,73
"126","female","group B","high school","standard","none",87,55,86
"127","male","group B","some high school","standard","none",72,68,67
"128","male","group D","some college","standard","completed",65,77,74
"129","male","group D","master's degree","standard","none",82,82,74
"130","female","group A","bachelor's degree","standard","none",51,9,51
"131","male","group D","master's degree","standard","none",89,84,82
"132","male","group C","some high school","free/reduced","completed",53,37,40
"133","male","group E","some college","free/reduced","completed",87,74,70
"134","female","group C","some college","standard","completed",75,41,84
"135","male","group D","bachelor's degree","free/reduced","completed",74,79,75
"136","male","group C","bachelor's degree","standard","none",58,55,48
"137","male","group B","some high school","standard","completed",51,54,41
"138","male","group E","high school","standard","none",70,55,56
"139","female","group C","associate's degree","standard","none",59,26,67
"140","male","group D","some college","standard","completed",71,61,69
"141","female","group D","some high school","standard","none",76,32,71
"142","female","group C","some college","free/reduced","none",59,22,64
"143","female","group E","some college","free/reduced","completed",42,15,54
"144","male","group A","high school","standard","none",57,43,47
"145","male","group D","some college","standard","none",88,73,78
"146","female","group C","some college","free/reduced","none",22,-1,33
"147","male","group B","some high school","standard","none",88,84,75
"148","male","group C","associate's degree","free/reduced","none",73,68,66
"149","female","group D","bachelor's degree","standard","completed",68,35,81
"150","male","group E","associate's degree","free/reduced","completed",100,100,93
"151","male","group A","some high school","standard","completed",62,67,69
"152","male","group A","bachelor's degree","standard","none",77,67,68
"153","female","group B","associate's degree","standard","completed",59,30,66
"154","male","group D","bachelor's degree","standard","none",54,49,47
"155","male","group D","some high school","standard","none",62,67,61
"156","female","group C","some college","standard","completed",70,49,88
"157","female","group E","high school","free/reduced","completed",66,34,78
"158","male","group B","some college","free/reduced","none",60,60,60
"159","female","group B","associate's degree","standard","completed",61,46,87
"160","male","group D","associate's degree","free/reduced","none",66,62,64
"161","male","group B","associate's degree","free/reduced","completed",82,78,74
"162","female","group E","some college","free/reduced","completed",75,48,85
"163","male","group B","master's degree","free/reduced","none",49,53,52
"164","male","group C","high school","standard","none",52,53,49
"165","female","group E","master's degree","standard","none",81,52,91
"166","female","group C","bachelor's degree","standard","completed",96,60,100
"167","male","group C","high school","free/reduced","completed",53,51,51
"168","female","group B","master's degree","free/reduced","completed",58,36,78
"169","female","group B","high school","standard","completed",68,43,78
"170","female","group C","some college","free/reduced","completed",67,35,70
"171","male","group A","high school","standard","completed",72,73,74
"172","male","group E","some high school","standard","none",94,88,78
"173","female","group D","some college","standard","none",79,46,81
"174","female","group C","associate's degree","standard","none",63,27,70
"175","female","group C","bachelor's degree","free/reduced","completed",43,11,54
"176","female","group C","master's degree","standard","completed",81,51,87
"177","female","group B","high school","free/reduced","completed",46,14,58
"178","female","group C","associate's degree","standard","completed",71,37,77
"179","female","group B","master's degree","free/reduced","completed",52,30,62
"180","female","group D","some high school","standard","completed",97,60,100
"181","male","group C","master's degree","free/reduced","completed",62,68,75
"182","female","group C","some college","free/reduced","none",46,24,66
"183","female","group E","high school","standard","none",50,10,47
"184","female","group D","associate's degree","standard","none",65,29,70
"185","male","group C","some high school","free/reduced","completed",45,52,49
"186","male","group C","associate's degree","free/reduced","completed",65,67,65
"187","male","group E","high school","standard","none",80,76,65
"188","male","group D","some high school","standard","completed",62,66,68
"189","male","group B","some high school","free/reduced","none",48,52,45
"190","female","group C","bachelor's degree","standard","none",77,48,87
"191","female","group E","associate's degree","standard","none",66,25,69
"192","male","group D","some college","standard","completed",76,83,79
"193","female","group B","some high school","standard","none",62,24,66
"194","male","group D","some college","standard","completed",77,62,62
"195","female","group C","master's degree","standard","completed",69,44,85
"196","male","group D","associate's degree","standard","none",61,55,52
"197","male","group C","some high school","free/reduced","completed",59,69,65
"198","male","group E","high school","free/reduced","none",55,56,51
"199","female","group B","some college","free/reduced","none",45,13,55
"200","female","group B","bachelor's degree","free/reduced","none",78,39,76
"201","female","group C","associate's degree","standard","completed",67,44,86
"202","female","group D","some college","free/reduced","none",65,41,77
"203","male","group C","associate's degree","standard","none",69,77,69
"204","female","group B","associate's degree","standard","none",57,29,68
"205","male","group C","some college","standard","none",59,41,42
"206","male","group D","some high school","standard","completed",74,71,78
"207","male","group E","bachelor's degree","standard","none",82,62,62
"208","male","group E","high school","standard","completed",81,80,76
"209","female","group B","some college","free/reduced","none",74,41,76
"210","female","group B","some college","free/reduced","none",58,21,66
"211","male","group D","some high school","free/reduced","completed",80,79,79
"212","male","group C","some college","free/reduced","none",35,28,27
"213","female","group C","high school","free/reduced","none",42,22,60
"214","male","group C","associate's degree","free/reduced","completed",60,51,56
"215","male","group E","high school","standard","completed",87,91,81
"216","male","group B","some high school","standard","completed",84,83,75
"217","female","group E","associate's degree","free/reduced","completed",83,46,88
"218","female","group C","high school","free/reduced","none",34,2,39
"219","male","group B","high school","free/reduced","none",66,77,70
"220","male","group B","some high school","standard","completed",61,56,56
"221","female","group D","high school","standard","completed",56,28,74
"222","male","group B","associate's degree","standard","none",87,85,73
"223","female","group C","some high school","free/reduced","none",55,25,62
"224","male","group D","some high school","standard","none",86,80,75
"225","female","group B","associate's degree","standard","completed",52,26,73
"226","female","group E","master's degree","free/reduced","none",45,16,54
"227","female","group C","some college","standard","none",72,32,71
"228","male","group D","high school","standard","none",57,50,54
"229","male","group A","some high school","free/reduced","none",68,72,64
"230","female","group C","some college","standard","completed",88,55,94
"231","male","group D","some college","standard","none",76,64,66
"232","male","group C","associate's degree","standard","none",46,43,42
"233","female","group B","bachelor's degree","standard","none",67,46,83
"234","male","group E","some high school","standard","none",92,87,78
"235","male","group C","bachelor's degree","standard","completed",83,82,84
"236","male","group D","associate's degree","standard","none",80,75,77
"237","male","group D","bachelor's degree","free/reduced","none",63,66,67
"238","female","group D","some high school","standard","completed",64,20,74
"239","male","group B","some college","standard","none",54,52,51
"240","male","group C","associate's degree","standard","none",84,80,80
"241","male","group D","high school","free/reduced","completed",73,68,66
"242","female","group E","bachelor's degree","standard","none",80,43,83
"243","female","group D","high school","standard","none",56,12,55
"244","male","group E","some college","standard","none",59,51,43
"245","male","group D","some high school","standard","none",75,74,69
"246","male","group C","associate's degree","standard","none",85,76,71
"247","male","group E","associate's degree","standard","none",89,76,74
"248","female","group B","high school","standard","completed",58,30,68
"249","female","group B","high school","standard","none",65,24,62
"250","male","group C","high school","standard","none",68,60,53
"251","male","group A","some high school","standard","completed",47,49,49
"252","female","group D","some college","free/reduced","none",71,43,83
"253","female","group B","some high school","standard","completed",60,30,70
"254","male","group D","master's degree","standard","none",80,80,72
"255","male","group D","high school","standard","none",54,52,52
"256","female","group E","some college","standard","none",62,33,70
"257","female","group C","associate's degree","free/reduced","none",64,33,68
"258","male","group C","associate's degree","standard","completed",78,77,77
"259","female","group B","some college","standard","none",70,35,78
"260","female","group C","master's degree","free/reduced","completed",65,41,81
"261","female","group C","some high school","free/reduced","completed",64,39,77
"262","male","group C","some college","standard","completed",79,79,78
"263","female","group C","some high school","free/reduced","none",44,10,51
"264","female","group E","high school","standard","none",99,53,90
"265","male","group D","high school","standard","none",76,73,68
"266","male","group D","some high school","free/reduced","none",59,42,41
"267","female","group C","bachelor's degree","standard","none",63,35,81
"268","female","group D","high school","standard","none",69,32,77
"269","female","group D","associate's degree","standard","completed",88,52,95
"270","female","group E","some college","free/reduced","none",71,36,70
"271","male","group C","bachelor's degree","standard","none",69,63,61
"272","male","group C","some college","standard","none",58,49,42
"273","female","group D","associate's degree","free/reduced","none",47,13,58
"274","female","group D","some college","standard","none",65,30,71
"275","male","group B","some college","standard","completed",88,85,76
"276","male","group C","bachelor's degree","standard","none",83,78,73
"277","female","group C","some high school","standard","completed",85,52,93
"278","female","group E","high school","standard","completed",59,23,75
"279","female","group C","some high school","free/reduced","none",65,46,80
"280","male","group B","bachelor's degree","free/reduced","none",73,56,57
"281","male","group D","high school","standard","none",53,52,42
"282","male","group D","high school","standard","none",45,48,46
"283","female","group D","bachelor's degree","free/reduced","none",73,39,84
"284","female","group D","some college","free/reduced","completed",70,38,78
"285","female","group B","some high school","standard","none",37,6,46
"286","male","group B","associate's degree","standard","completed",81,82,82
"287","male","group E","associate's degree","standard","completed",97,82,88
"288","female","group B","some high school","standard","none",67,49,82
"289","male","group B","bachelor's degree","free/reduced","none",88,75,76
"290","male","group E","some high school","standard","completed",77,76,77
"291","male","group C","associate's degree","standard","none",76,70,68
"292","male","group D","some high school","standard","none",86,73,70
"293","male","group C","some high school","standard","completed",63,60,57
"294","female","group E","bachelor's degree","standard","none",65,33,75
"295","male","group D","high school","free/reduced","completed",78,77,80
"296","male","group B","associate's degree","free/reduced","none",67,62,60
"297","male","group A","some high school","standard","completed",46,41,43
"298","male","group E","associate's degree","standard","completed",71,74,68
"299","male","group C","high school","free/reduced","completed",40,46,50
"300","male","group D","associate's degree","free/reduced","none",90,87,75
"301","male","group A","some college","free/reduced","completed",81,78,81
"302","male","group D","some high school","free/reduced","none",56,54,52
"303","female","group C","associate's degree","standard","completed",67,44,81
"304","male","group B","associate's degree","standard","none",80,76,64
"305","female","group C","associate's degree","standard","completed",74,35,83
"306","male","group A","some college","standard","none",69,67,69
"307","male","group E","some college","standard","completed",99,87,81
"308","male","group C","some high school","standard","none",51,52,44
"309","female","group B","associate's degree","free/reduced","none",53,31,67
"310","female","group D","high school","free/reduced","none",49,17,52
"311","female","group B","associate's degree","standard","none",73,36,80
"312","male","group B","bachelor's degree","standard","none",66,60,57
"313","male","group D","bachelor's degree","standard","completed",67,61,68
"314","female","group C","associate's degree","free/reduced","completed",68,27,69
"315","female","group C","bachelor's degree","standard","completed",59,24,75
"316","male","group C","high school","standard","none",71,66,65
"317","female","group D","master's degree","standard","completed",77,42,91
"318","male","group C","associate's degree","standard","none",83,72,78
"319","male","group B","bachelor's degree","standard","none",63,71,69
"320","female","group D","associate's degree","free/reduced","none",56,25,63
"321","female","group C","high school","free/reduced","completed",67,39,84
"322","female","group E","high school","standard","none",75,46,79
"323","female","group C","some college","standard","none",71,41,80
"324","female","group C","some high school","free/reduced","none",43,13,53
"325","female","group C","high school","free/reduced","none",41,6,43
"326","female","group C","some college","standard","none",82,50,94
"327","male","group C","some college","standard","none",61,61,62
"328","male","group A","some college","free/reduced","none",28,23,19
"329","male","group C","associate's degree","standard","completed",82,75,77
"330","female","group B","some high school","standard","none",41,15,51
"331","male","group C","high school","standard","none",71,60,61
"332","male","group C","associate's degree","standard","none",47,37,35
"333","male","group E","associate's degree","standard","completed",62,56,53
"334","male","group B","associate's degree","standard","none",90,78,81
"335","female","group C","bachelor's degree","standard","none",83,53,95
"336","female","group B","some college","free/reduced","none",61,28,66
"337","male","group D","some high school","standard","completed",76,70,69
"338","male","group C","associate's degree","standard","none",49,51,43
"339","female","group B","some high school","free/reduced","none",24,-2,27
"340","female","group D","some high school","free/reduced","completed",35,15,60
"341","male","group C","high school","free/reduced","none",58,61,52
"342","female","group C","high school","standard","none",61,33,63
"343","female","group B","high school","standard","completed",69,36,74
"344","male","group D","associate's degree","standard","completed",67,72,67
"345","male","group D","some college","standard","none",79,73,67
"346","female","group C","high school","standard","none",72,40,75
"347","male","group B","some college","standard","none",62,61,57
"348","female","group C","bachelor's degree","standard","completed",77,54,95
"349","male","group D","high school","free/reduced","none",75,74,66
"350","male","group E","associate's degree","standard","none",87,74,76
"351","female","group B","bachelor's degree","standard","none",52,25,69
"352","male","group E","some college","standard","none",66,57,52
"353","female","group C","some college","standard","completed",63,38,80
"354","female","group C","associate's degree","standard","none",46,18,57
"355","female","group C","some college","standard","none",59,31,70
"356","female","group B","bachelor's degree","standard","none",61,32,70
"357","male","group A","associate's degree","standard","none",63,61,61
"358","female","group C","some college","free/reduced","completed",42,26,69
"359","male","group D","some college","free/reduced","none",59,62,61
"360","female","group D","some college","standard","none",80,50,89
"361","female","group B","high school","standard","none",58,22,59
"362","male","group B","some high school","standard","completed",85,84,78
"363","female","group C","some college","standard","none",52,18,58
"364","female","group D","some high school","free/reduced","none",27,-6,32
"365","male","group C","some college","standard","none",59,60,58
"366","male","group A","bachelor's degree","free/reduced","completed",49,58,60
"367","male","group C","high school","standard","completed",69,58,53
"368","male","group C","bachelor's degree","free/reduced","none",61,66,61
"369","female","group A","some high school","free/reduced","none",44,24,58
"370","female","group D","some high school","standard","none",73,44,85
"371","male","group E","some college","standard","none",84,77,71
"372","female","group C","some college","free/reduced","completed",45,33,70
"373","male","group D","some high school","standard","none",74,74,72
"374","female","group D","some college","standard","completed",82,57,96
"375","female","group D","bachelor's degree","standard","none",59,30,73
"376","male","group E","associate's degree","free/reduced","none",46,43,41
"377","female","group D","some high school","standard","none",80,50,82
"378","female","group D","master's degree","free/reduced","completed",85,55,100
"379","female","group A","some high school","standard","none",71,43,77
"380","male","group A","bachelor's degree","standard","none",66,64,62
"381","female","group B","associate's degree","standard","none",80,46,83
"382","male","group C","associate's degree","standard","completed",87,100,95
"383","male","group C","master's degree","free/reduced","none",79,81,71
"384","female","group E","some high school","free/reduced","none",38,9,45
"385","female","group A","some high school","free/reduced","none",38,3,43
"386","female","group E","some college","standard","none",67,36,75
"387","female","group E","bachelor's degree","standard","none",64,33,70
"388","female","group C","associate's degree","free/reduced","none",57,38,67
"389","female","group D","high school","standard","none",62,24,64
"390","male","group D","master's degree","standard","none",73,70,75
"391","male","group E","some high school","free/reduced","completed",73,67,59
"392","female","group D","some college","standard","none",77,28,77
"393","male","group E","some college","standard","none",76,67,67
"394","male","group C","associate's degree","standard","completed",57,54,56
"395","female","group C","some high school","standard","completed",65,34,77
"396","male","group A","high school","free/reduced","none",48,45,41
"397","female","group B","high school","free/reduced","none",50,27,63
"398","female","group C","associate's degree","standard","none",85,49,95
"399","male","group B","some high school","standard","none",74,63,57
"400","male","group D","some high school","standard","none",60,59,54
"401","female","group C","some high school","standard","completed",59,14,67
"402","male","group A","some college","standard","none",53,43,43
"403","female","group A","some college","free/reduced","none",49,25,55
"404","female","group D","high school","standard","completed",88,59,100
"405","female","group C","high school","standard","none",54,19,62
"406","female","group C","some high school","standard","none",63,33,68
"407","male","group B","associate's degree","standard","completed",65,65,63
"408","female","group B","associate's degree","standard","none",82,40,77
"409","female","group D","high school","free/reduced","completed",52,17,56
"410","male","group D","associate's degree","standard","completed",87,84,85
"411","female","group D","master's degree","standard","completed",70,31,74
"412","male","group E","some college","standard","completed",84,83,78
"413","male","group D","associate's degree","standard","none",71,66,60
"414","male","group B","some high school","standard","completed",63,67,67
"415","female","group C","bachelor's degree","free/reduced","completed",51,32,79
"416","male","group E","high school","standard","none",84,73,69
"417","male","group C","bachelor's degree","standard","completed",71,74,68
"418","male","group C","associate's degree","standard","none",74,73,67
"419","male","group D","some college","standard","none",68,59,62
"420","male","group E","high school","free/reduced","completed",57,56,54
"421","female","group C","associate's degree","free/reduced","completed",82,53,93
"422","female","group D","high school","standard","completed",57,18,64
"423","female","group D","master's degree","free/reduced","completed",47,18,67
"424","female","group A","some high school","standard","completed",59,45,80
"425","male","group B","some college","free/reduced","none",41,39,34
"426","female","group C","some college","free/reduced","none",62,27,62
"427","male","group C","bachelor's degree","standard","none",86,83,86
"428","male","group C","some high school","free/reduced","none",69,71,65
"429","male","group A","some high school","free/reduced","none",65,59,53
"430","male","group C","some high school","free/reduced","none",68,63,54
"431","male","group C","associate's degree","free/reduced","none",64,66,59
"432","female","group C","high school","standard","none",61,32,70
"433","male","group C","high school","standard","none",61,56,55
"434","female","group A","some high school","free/reduced","none",47,19,50
"435","male","group C","some high school","standard","none",73,66,66
"436","male","group C","some college","free/reduced","completed",50,48,53
"437","male","group D","associate's degree","standard","none",75,68,64
"438","male","group D","associate's degree","free/reduced","none",75,66,73
"439","male","group C","high school","standard","none",70,56,51
"440","male","group D","some high school","standard","completed",89,88,82
"441","female","group C","some college","standard","completed",67,41,79
"442","female","group D","high school","standard","none",78,41,80
"443","female","group A","some high school","free/reduced","none",59,33,69
"444","female","group B","associate's degree","standard","none",73,43,76
"445","male","group A","some high school","free/reduced","none",79,82,73
"446","female","group C","some high school","standard","completed",67,34,77
"447","male","group D","some college","free/reduced","none",69,66,60
"448","male","group C","high school","standard","completed",86,81,80
"449","male","group B","high school","standard","none",47,46,42
"450","male","group B","associate's degree","standard","none",81,73,72
"451","female","group C","some college","free/reduced","completed",64,45,85
"452","female","group E","some college","standard","none",100,52,97
"453","female","group C","associate's degree","free/reduced","none",65,37,74
"454","male","group C","some college","free/reduced","none",65,58,49
"455","female","group C","associate's degree","free/reduced","none",53,21,62
"456","male","group C","bachelor's degree","free/reduced","none",37,56,47
"457","female","group D","bachelor's degree","standard","none",79,49,89
"458","male","group D","associate's degree","free/reduced","none",53,54,48
"459","female","group E","bachelor's degree","standard","none",100,60,100
"460","male","group B","high school","standard","completed",72,65,68
"461","male","group C","bachelor's degree","free/reduced","none",53,58,55
"462","male","group B","some college","free/reduced","none",54,54,45
"463","female","group E","some college","standard","none",71,30,76
"464","female","group C","some college","free/reduced","none",77,50,91
"465","male","group A","bachelor's degree","standard","completed",75,58,62
"466","female","group C","some college","standard","none",84,47,91
"467","female","group D","associate's degree","free/reduced","none",26,-9,38
"468","male","group A","high school","free/reduced","completed",72,67,65
"469","female","group A","high school","free/reduced","completed",77,48,85
"470","male","group C","some college","standard","none",91,74,76
"471","female","group C","associate's degree","standard","completed",83,45,90
"472","female","group C","high school","standard","none",63,29,74
"473","female","group C","associate's degree","standard","completed",68,46,84
"474","female","group D","some high school","standard","none",59,27,61
"475","female","group B","associate's degree","standard","completed",90,50,91
"476","female","group D","bachelor's degree","standard","completed",71,36,83
"477","male","group E","bachelor's degree","standard","completed",76,62,66
"478","male","group D","associate's degree","standard","none",80,68,72
"479","female","group D","master's degree","standard","none",55,24,70
"480","male","group E","associate's degree","standard","none",76,71,67
"481","male","group B","high school","standard","completed",73,71,68
"482","female","group D","associate's degree","free/reduced","none",52,19,56
"483","male","group C","some college","free/reduced","none",68,68,61
"484","male","group A","high school","standard","none",59,52,46
"485","female","group B","associate's degree","standard","none",49,12,54
"486","male","group C","high school","standard","none",70,74,71
"487","male","group D","some college","free/reduced","none",61,47,56
"488","female","group C","associate's degree","free/reduced","none",60,35,74
"489","male","group B","some high school","standard","completed",64,53,57
"490","male","group A","associate's degree","free/reduced","completed",79,82,82
"491","female","group A","associate's degree","free/reduced","none",65,45,76
"492","female","group C","associate's degree","standard","none",64,24,70
"493","female","group C","some college","standard","none",83,43,90
"494","female","group C","bachelor's degree","standard","none",81,48,90
"495","female","group B","high school","standard","none",54,24,68
"496","male","group D","high school","standard","completed",68,64,66
"497","female","group C","some college","standard","none",54,8,52
"498","female","group D","some college","free/reduced","completed",59,38,76
"499","female","group B","some high school","standard","none",66,29,68
"500","male","group E","some college","standard","none",76,71,72
